Link,Title,Rating,Price,NoReviews
./page3_files/91mtYBk+tZL._AC_UY218_.jpg,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,3.7 out of 5 stars,843,828
./page3_files/6175Nru3TXL._AC_UY218_.jpg,ADISA Laptop Backpack 31 Ltrs,4.0 out of 5 stars,499,"9,284"
./page3_files/81kC9PZ8vFL._AC_UY218_.jpg,"Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop Office Travel Bag for Men and Women Gifts, Dark Grey",4.4 out of 5 stars,"1,946","3,364"
./page3_files/61lIZLyw28L._AC_UY218_.jpg,ADISA Light Weight Laptop Backpack 32 Ltrs,4.0 out of 5 stars,499,"5,860"
./page3_files/71tOJlH2YYL._AC_UY218_.jpg,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,4.1 out of 5 stars,"1,399","5,524"
./page3_files/81RtwUjQiFL._AC_UY218_.jpg,F Gear Luxur Brown 25 liter Laptop Backpack (2404),4.4 out of 5 stars,"1,162","16,733"
./page3_files/71JI8Q3Ln-L._AC_UY218_.jpg,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,4.0 out of 5 stars,"1,199","7,624"
./page3_files/51Rdzmk4wzL._AC_UY218_.jpg,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),3.8 out of 5 stars,599,141
./page3_files/71xZwPWmpVL._AC_UY218_.jpg,URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,3.7 out of 5 stars,395,654
./page3_files/71iiu5nN2fL._AC_UY218_.jpg,Half Moon 55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover,4.0 out of 5 stars,899,432
./page3_files/81kiA9M+IoL._AC_UY218_.jpg,TRAWOC 80L Travel Backpack for Outdoor Sport Camp Hiking Trekking Bag Camping Rucksack HK007 (PARENT) 1 Year Warranty,4.4 out of 5 stars,"2,332","7,201"
./page3_files/71edjA10hZL._AC_UY218_.jpg,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",4.1 out of 5 stars,398,"8,997"
./page3_files/71xeudlt5EL._AC_UY218_.jpg,AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE_0521_Black),4.3 out of 5 stars,376,"9,121"
./page3_files/81wnCexA4tL._AC_UY218_.jpg,DEIN KLEIDER Men's Nylon Messenger Bag,4.0 out of 5 stars,349,"4,879"
./page3_files/51vS5vk8WYL._AC_UY218_.jpg,"HARISSONS Bags Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Black, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder",4.3 out of 5 stars,"2,960","1,976"
./page3_files/61QN35aYQsL._AC_UY218_.jpg,"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",3.7 out of 5 stars,949,923
